name,type,type_en,tags
a-b-2,轮廓线,outline,"test, visual, user, design, a, b, 2"
a-b-off,轮廓线,outline,"test, visual, user, off, disabled, inactive, a, b"
a-b,轮廓线,outline,"test, visual, user, programming, software, coding, technical, developer, a, b"
abacus-off,轮廓线,outline,"abacus, math, counting, adding up, off, calculation, equation, disabled, inactive, mathematics"
abacus,轮廓线,outline,"abacus, math, counting, adding up, calculation, equation, mathematics, numeric, formula"
abc,轮廓线,outline,"letters, alphabet, latin, abc, text, characters, writing, language"
access-point-off,轮廓线,outline,"device, hosts, airwaves, wireless, network, access, point, off, hardware, technology"
access-point,轮廓线,outline,"device, hosts, airwaves, wireless, network, access, point, hardware, technology, electronic"
accessible-off,轮廓线,outline,"low-vision, blind, disability, handicapped, accessible, off, disabled, inactive, accessibility, inclusive"
accessible,轮廓线,outline,"low-vision, blind, disability, handicapped, accessible, accessibility, inclusive, barrier-free"
activity-heartbeat,轮廓线,outline,"pulse, lifeline, impuls, hospital, heartrate, activity, heartbeat, love, like, motion"
activity,轮廓线,outline,"pulse, motion, health, action, activity, movement, dynamic, active"
ad-2,轮廓线,outline,"advert, advertisement, marketing, commercial, traffic, creative, artistic, ad, visual, aesthetic"
ad-circle-off,轮廓线,outline,"marketing, promotion, advertisement, shape, circle, off, disabled, inactive, round, circular"
ad-circle,轮廓线,outline,"marketing, promotion, advertisement, shape, circle, round, circular, ad"
ad-off,轮廓线,outline,"advert, advertisement, marketing, commercial, traffic, off, creative, artistic, disabled, inactive"
ad,轮廓线,outline,"advert, advertisement, marketing, commercial, traffic, creative, artistic, ad, visual, aesthetic"
address-book-off,轮廓线,outline,"contact, contacts, phonebook, profile, resources, address, book, off, disabled, inactive"
address-book,轮廓线,outline,"contact, contacts, phonebook, profile, resources, address, book"
adjustments-alt,轮廓线,outline,"equalizer, sliders, controls, settings, filter, adjustments, alt, control, operation, function"
adjustments-bolt,轮廓线,outline,"settings, tweak, modify, electric, lightning, power, energy, zap, volt, charge"
adjustments-cancel,轮廓线,outline,"settings, dismiss, terminate, abort, halt, cease, stop, reject, refuse, deny"
adjustments-check,轮廓线,outline,"settings, verify, confirm, approve, validate, tick, accept, okay, affirm, correct"
adjustments-code,轮廓线,outline,"settings, program, develop, script, software, cypher, encrypt, decode, compile, syntax"
adjustments-cog,轮廓线,outline,"settings, gear, mechanism, machinery, wheel, engine, operation, control, process, system"
adjustments-dollar,轮廓线,outline,"settings, currency, finance, money, cash, funds, economy, bank, wealth, coin"
adjustments-down,轮廓线,outline,"settings, decrease, lessen, reduce, lower, diminish, drop, fall, descend, deplete"
adjustments-exclamation,轮廓线,outline,"settings, alert, warn, caution, important, urgent, notice, attention, highlight, notify"
adjustments-heart,轮廓线,outline,"settings, love, affection, passion, romance, emotion, fondness, devotion, cherish, admire"
adjustments-horizontal,轮廓线,outline,"equalizer, sliders, controls, settings, filter, adjustments, horizontal, control, operation, function"
adjustments-minus,轮廓线,outline,"settings, subtract, reduce, remove, delete, lower, decrease, deduct, takeaway, less"
adjustments-off,轮廓线,outline,"equalizer, sliders, controls, settings, filter, adjustments, off, control, operation, disabled"
adjustments-pause,轮廓线,outline,"settings, break, halt, stop, temporary, wait, intermission, hold, suspend, interruption"
adjustments-pin,轮廓线,outline,"settings, attach, fix, secure, lock, hold, fasten, anchor, nail, clip"
adjustments-plus,轮廓线,outline,"settings, add, increase, expand, enlarge, inflate, grow, gain, boost, more"
adjustments-question,轮廓线,outline,"settings, inquire, ask, query, probe, interrogate, wonder, puzzle, doubt, uncertain"
adjustments-search,轮廓线,outline,"settings, find, explore, seek, look, discover, examine, investigate, probe, inspect"
adjustments-share,轮廓线,outline,"settings, distribute, spread, transmit, broadcast, impart, exchange, pass, disseminate, convey"
adjustments-spark,轮廓线,outline,"equalizer, sliders, controls, settings, filter, adjustments, spark, control, operation, glitter"
adjustments-star,轮廓线,outline,"settings, favorite, highlight, feature, mark, promote, shine, emphasize, reward, special"
adjustments-up,轮廓线,outline,"settings, increase, raise, grow, ascend, elevate, boost, uplift, rise, amplify"
adjustments-x,轮廓线,outline,"settings, close, exit, delete, remove, cancel, eliminate, terminate, block, reject"
adjustments,轮廓线,outline,"equalizer, sliders, controls, settings, filter, adjustments, control, operation, function, interface"
aerial-lift,轮廓线,outline,"cable, car, gondola, mountains, ski, tramway, aerial, lift, transport, travel"
affiliate,轮廓线,outline,"network, connection, collaboration, people, connect, organization, networking, affiliate"
ai-agent,轮廓线,outline,"artificial, intelligence, assistant, automation, robot, chatbot, machine, learning, smart, digital, virtual, automated"
ai-agents,轮廓线,outline,"artificial, intelligence, assistants, automation, robots, chatbots, multiple, team, machine, learning, smart, digital"
ai-gateway,轮廓线,outline,"artificial, intelligence, gateway, api, entry, access, bridge, portal, connection, integration, interface, network"
ai,轮廓线,outline,"artificial intelligence, letters, text, technology, robot, automatic, character, programming, software, ai"
air-balloon,轮廓线,outline,"travel, adventure, attraction, fly, transport, air, balloon, vehicle, automobile, mobility"
air-conditioning-disabled,轮廓线,outline,"cold, home, cooling, hot, off, air, conditioning, disabled"
air-conditioning,轮廓线,outline,"cold, ice, home, cooling, heating, hot, air, conditioning"
air-traffic-control,轮廓线,outline,"aviation, guidance, navigation, flight, monitor, manage, tower, signal, route, supervise"
alarm-average,轮廓线,outline,"notification, metric, ringing, mean, alertness, time, clockwork, signal, bell, chime"
alarm-minus,轮廓线,outline,"alarm, bell, notification, delete, remove, minus, control, operation, subtract, less"
alarm-off,轮廓线,outline,"time, watch, clock, ring, alarm, off, control, operation, disabled, inactive"
alarm-plus,轮廓线,outline,"alarm, bell, notification, add, new, plus, control, operation, more, increase"
alarm-smoke,轮廓线,outline,"alert, hazard, safety, sensor, device, warning, detector, emergency, protection, system"
alarm-snooze,轮廓线,outline,"alarm, bell, notification, sleep, nap, snooze, control, operation, function, interface"
alarm,轮廓线,outline,"time, watch, clock, ring, alarm, control, operation, function, interface, management"
album-off,轮廓线,outline,"photos, photography, gallery, music, album, off, disabled, inactive, collection, pictures"
album,轮廓线,outline,"photos, photography, gallery, music, album, collection, pictures, media"
alert-circle-off,轮廓线,outline,"warning, danger, caution, risk, alert, circle, off, control, operation, disabled"
alert-circle,轮廓线,outline,"warning, danger, caution, risk, alert, circle, control, operation, round, circular"
alert-hexagon-off,轮廓线,outline,"warning, muted, caution, inactive, silent, unalerted, disabled, quiet, off, dormant"
alert-hexagon,轮廓线,outline,"warning, caution, hex, notify, alert, danger, precaution, risk, crime, signal"
alert-octagon,轮廓线,outline,"warning, danger, caution, risk, alert, octagon, control, operation, function, interface"
alert-small-off,轮廓线,outline,"notification, muted, disable, quiet, silent, suppressed, inactive, off, halt, interrupted"
alert-small,轮廓线,outline,"notification, prompt, hint, notify, remind, update, jingle, ping, beep, flash"
alert-square-rounded-off,轮廓线,outline,"warning, muted, precaution, inactive, suppressed, silent, dormant, deactivated, off, disabled"
alert-square-rounded,轮廓线,outline,"warning, attention, caution, inform, notify, square, alarm, signal, warn, alert"
alert-square,轮廓线,outline,"warning, notify, warn, caution, danger, message, inform, alarm, signal, square"
alert-triangle-off,轮廓线,outline,"warning, danger, caution, risk, alert, triangle, off, control, operation, disabled"
alert-triangle,轮廓线,outline,"warning, danger, caution, risk, alert, triangle, control, operation, function, interface"
alien,轮廓线,outline,"universe, extraterrestrial, ufo, space, galaxy, planet, alien, creature, foreign"
align-box-bottom-center,轮廓线,outline,"text, type, down, south, align, box, bottom, center, typography, writing"
align-box-bottom-left,轮廓线,outline,"text, type, west, corner, align, box, bottom, left, typography, writing"
align-box-bottom-right,轮廓线,outline,"text, type, east, corner, align, box, bottom, right, typography, writing"
